text|[[32.15, 65.88], [52.70, 460.08]]
text|[[61.13, 17.79], [67.98, 502.77]]
text|[[232.67, 23.45], [232.94, 128.33]]
text|[[283.00, 17.26], [353.62, 197.10]]
text|[[359.95, 15.94], [491.04, 73.91]]
text|[[508.04, 17.39], [542.03, 130.70]]
text|[[548.62, 14.89], [668.77, 78.39]]
text|[[675.89, 16.60], [773.12, 132.81]]
text|[[778.39, 28.46], [780.76, 133.33]]
text|[[786.96, 15.02], [809.88, 131.75]]
text|[[816.86, 19.10], [820.42, 20.82]]
text|[[158.37, 83.53], [172.60, 143.61]]
text|[[174.04, 77.08], [668.77, 135.57]]
text|[[172.60, 83.53], [173.12, 137.81]]
text|[[173.12, 83.53], [176.02, 96.71]]
text|[[226.35, 72.46], [232.67, 128.33]]
text|[[811.59, 70.62], [815.68, 125.16]]
text|[[261.66, 154.68], [276.42, 163.11]]
text|[[360.08, 138.87], [642.16, 196.57]]
text|[[653.49, 140.18], [690.38, 310.94]]
text|[[694.07, 137.42], [818.71, 194.33]]
text|[[81.16, 201.84], [115.42, 260.61]]
text|[[118.97, 203.29], [149.41, 321.74]]
text|[[150.59, 203.03], [197.89, 259.82]]
text|[[203.69, 220.82], [217.65, 476.42]]
text|[[224.37, 201.98], [388.27, 259.68]]
text|[[398.95, 202.90], [415.81, 322.27]]
text|[[420.29, 201.32], [461.79, 319.37]]
text|[[463.24, 197.76], [819.37, 260.34]]
text|[[81.16, 260.61], [115.42, 509.62]]
text|[[152.17, 264.30], [279.45, 321.61]]
text|[[285.11, 265.09], [302.24, 386.30]]
text|[[306.06, 261.79], [552.96, 320.69]]
text|[[564.43, 260.34], [593.41, 427.01]]
text|[[596.44, 259.68], [820.03, 319.63]]
text|[[118.58, 326.35], [196.97, 383.27]]
text|[[226.61, 325.16], [388.27, 383.00]]
text|[[398.95, 322.27], [415.81, 443.35]]
text|[[420.16, 321.34], [820.69, 383.79]]
text|[[118.58, 388.67], [197.10, 446.25]]
text|[[226.35, 388.14], [279.71, 445.72]]
text|[[285.11, 386.30], [302.24, 505.40]]
text|[[305.80, 383.79], [809.75, 445.06]]
text|[[810.94, 384.19], [820.95, 445.98]]
text|[[118.45, 450.86], [196.97, 507.91]]
text|[[225.82, 443.35], [678.79, 506.98]]
text|[[689.59, 447.96], [749.41, 501.98]]
text|[[750.46, 495.39], [759.68, 499.60]]
text|[[763.77, 446.90], [799.60, 503.56]]
text|[[810.94, 445.98], [820.95, 448.62]]
text|[[811.46, 454.41], [820.82, 486.69]]
